k,n,p1,p2,p3,p4,p5,p6
15,15,0.000000000002126822491,0.00000006968959255,0.00003044788641,0.002253140682,0.06262181326,0.9350945285
1,16,0.9459121071,0.05256545409,0.001507180051,0.00001523555849,0.00000002323021866,0.0000000000003544704151
2,16,0.7728308497,0.2134672008,0.01344255015,0.0002586328051,0.0000007665802010,0.00000000002871210362
3,16,0.5132089636,0.4274159216,0.05728466067,0.002078536818,0.00001191619189,0.000000001092123349
4,16,0.2708952033,0.5631589631,0.1553104576,0.01051938572,0.0001159643466,0.00000002590505241
5,16,0.1133912591,0.5474854893,0.3007168796,0.03761390753,0.0007920354259,0.0000004291151496
6,16,0.03778936583,0.4152744808,0.4418793907,0.1010172216,0.004034273494,0.000005267636316
7,16,0.01006867164,0.2525000151,0.5101821678,0.2113036569,0.01589586788,0.00004962074701
8,16,0.002148473307,0.1243522420,0.4716895923,0.3518472109,0.04959605278,0.0003664286805
9,16,0.0003664286805,0.04959605278,0.3518472109,0.4716895923,0.1243522420,0.002148473307
10,16,0.00004962074701,0.01589586788,0.2113036569,0.5101821678,0.2525000151,0.01006867164
11,16,0.000005267636316,0.004034273494,0.1010172216,0.4418793907,0.4152744808,0.03778936583
12,16,0.0000004291151496,0.0007920354259,0.03761390753,0.3007168796,0.5474854893,0.1133912591
13,16,0.00000002590505241,0.0001159643466,0.01051938572,0.1553104576,0.5631589631,0.2708952033
